sample_id,site_id,site_name,region,collected_at,reads_millions,host_read_fraction,qc_status,Bacteroides,Prevotella,Faecalibacterium,Acinetobacter,Pseudomonas,Enterococcus,Escherichia,Bifidobacterium
RIV-260104,riverside,Riverside Interceptor,Central district,2026-01-04,18.2,0.011,pass,32,16,14,6,5,7,8,12
RIV-260111,riverside,Riverside Interceptor,Central district,2026-01-11,20.1,0.009,pass,31,17,13,6,5,8,8,12
RIV-260118,riverside,Riverside Interceptor,Central district,2026-01-18,19.5,0.010,pass,33,15,14,5,6,7,8,12
RIV-260125,riverside,Riverside Interceptor,Central district,2026-01-25,21.4,0.008,pass,32,16,13,6,5,7,9,12
RIV-260201,riverside,Riverside Interceptor,Central district,2026-02-01,22.0,0.009,pass,31,16,15,6,5,7,8,12
RIV-260208,riverside,Riverside Interceptor,Central district,2026-02-08,20.8,0.010,pass,32,17,13,5,5,8,8,12
RIV-260215,riverside,Riverside Interceptor,Central district,2026-02-15,19.9,0.012,pass,33,16,13,6,5,7,8,12
RIV-260222,riverside,Riverside Interceptor,Central district,2026-02-22,21.7,0.009,pass,31,16,14,6,6,7,8,12
RIV-260301,riverside,Riverside Interceptor,Central district,2026-03-01,22.2,0.008,pass,32,15,14,6,5,8,8,12
RIV-260308,riverside,Riverside Interceptor,Central district,2026-03-08,20.6,0.010,pass,32,16,13,6,5,7,9,12
HBR-260104,harbor,Harbor Works,Coastal district,2026-01-04,17.1,0.014,pass,24,12,11,12,11,9,12,9
HBR-260111,harbor,Harbor Works,Coastal district,2026-01-11,18.4,0.013,pass,25,12,10,12,10,9,13,9
HBR-260118,harbor,Harbor Works,Coastal district,2026-01-18,16.9,0.015,pass,24,13,11,11,11,9,12,9
HBR-260125,harbor,Harbor Works,Coastal district,2026-01-25,19.0,0.012,pass,23,12,12,12,11,9,12,9
HBR-260201,harbor,Harbor Works,Coastal district,2026-02-01,18.7,0.013,pass,24,12,11,13,10,9,12,9
HBR-260208,harbor,Harbor Works,Coastal district,2026-02-08,18.1,0.014,pass,25,11,11,12,11,9,12,9
HBR-260215,harbor,Harbor Works,Coastal district,2026-02-15,17.8,0.013,pass,24,12,10,12,12,9,12,9
HBR-260222,harbor,Harbor Works,Coastal district,2026-02-22,19.2,0.012,pass,12,7,6,28,25,8,10,4
HBR-260301,harbor,Harbor Works,Coastal district,2026-03-01,18.8,0.014,pass,20,10,9,17,18,8,11,7
HBR-260308,harbor,Harbor Works,Coastal district,2026-03-08,19.4,0.013,pass,23,12,10,13,12,9,12,9
NTH-260104,northgate,Northgate Plant,Northern district,2026-01-04,15.8,0.018,pass,27,15,12,8,8,10,11,9
NTH-260111,northgate,Northgate Plant,Northern district,2026-01-11,16.3,0.017,pass,28,14,12,8,8,10,11,9
NTH-260118,northgate,Northgate Plant,Northern district,2026-01-18,15.5,0.019,pass,27,15,11,9,8,10,11,9
NTH-260125,northgate,Northgate Plant,Northern district,2026-01-25,16.8,0.016,pass,26,15,12,8,9,10,11,9
NTH-260201,northgate,Northgate Plant,Northern district,2026-02-01,17.0,0.017,pass,27,14,12,8,8,11,11,9
NTH-260208,northgate,Northgate Plant,Northern district,2026-02-08,16.6,0.018,pass,28,15,11,8,8,10,11,9
NTH-260215,northgate,Northgate Plant,Northern district,2026-02-15,4.1,0.087,review,26,14,12,10,9,10,11,8
NTH-260222,northgate,Northgate Plant,Northern district,2026-02-22,16.1,0.018,pass,27,15,12,8,8,10,11,9
NTH-260301,northgate,Northgate Plant,Northern district,2026-03-01,17.2,0.016,pass,28,14,12,8,8,10,11,9
NTH-260308,northgate,Northgate Plant,Northern district,2026-03-08,16.4,0.017,pass,27,15,11,8,9,10,11,9
