sample_id,site_id,site_name,region,collected_at,reads_millions,host_read_fraction,identified_fraction,qc_status,bioproject,biosample,sra_run,profile_method,source_url,Tobamovirus,Pseudomonas,Aliarcobacter,Sulfurospirillum,Vibrio,Methylobacterium,Quatrionicoccus,Other identified genera
SRR14530731,pl,Point Loma WTP,Southern California,2020-08-27,3.403,0.001167,0.985826,pass,PRJNA729801,SAMN19167982,SRR14530731,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530731,1.523706,8.366556,13.459275,9.735761,0.236701,0.052496,1.812716,64.812787
SRR14530730,pl,Point Loma WTP,Southern California,2020-09-10,4.419,0.000224,0.823585,pass,PRJNA729801,SAMN19167983,SRR14530730,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530730,3.850783,28.088201,9.005407,0.672193,0.07726,0.002793,5.005451,53.297912
SRR14530729,pl,Point Loma WTP,Southern California,2020-09-24,3.843,0.009237,0.990983,pass,PRJNA729801,SAMN19167984,SRR14530729,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530729,0.626964,6.774218,13.185705,18.382191,0.196405,0.286351,1.060766,59.4874
SRR14530733,pl,Point Loma WTP,Southern California,2020-10-22,3.858,0.001532,0.991326,pass,PRJNA729801,SAMN19167980,SRR14530733,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530733,1.025479,15.048712,8.48802,8.395135,0.364058,0.112243,1.195959,65.370394
SRR14530860,pl,Point Loma WTP,Southern California,2020-11-05,8.153,0.001795,0.940071,pass,PRJNA729801,SAMN19168029,SRR14530860,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530860,6.116237,5.182679,13.173927,15.221062,0.117267,7.107056,1.725596,51.356177
SRR14530863,pl,Point Loma WTP,Southern California,2020-11-29,10.113,0.006224,0.697427,pass,PRJNA729801,SAMN19168027,SRR14530863,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530863,77.31575,3.304931,1.471126,0.420646,0.033777,1.768725,0.010858,15.674188
SRR14530862,pl,Point Loma WTP,Southern California,2020-11-30,10.775,0.009844,0.670597,pass,PRJNA729801,SAMN19168028,SRR14530862,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530862,80.839006,3.839951,1.095869,0.410462,0.032862,0.017332,0.007268,13.75725
SRR14530859,pl,Point Loma WTP,Southern California,2020-12-14,10.305,0.00312,0.792687,pass,PRJNA729801,SAMN19168030,SRR14530859,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530859,62.172734,8.545323,1.408635,1.12588,0.04618,5.868202,0.025468,20.807578
SRR14530858,pl,Point Loma WTP,Southern California,2020-12-22,9.335,0.000657,0.843581,pass,PRJNA729801,SAMN19168031,SRR14530858,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530858,64.94061,9.178714,1.990738,0.562092,0.048863,3.696768,0.013671,19.568544
SRR14530857,pl,Point Loma WTP,Southern California,2020-12-28,8.833,0.035493,0.871134,pass,PRJNA729801,SAMN19168032,SRR14530857,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530857,45.50532,5.706502,4.757372,0.64742,0.052149,8.953245,0.014755,34.363236
SRR14530865,pl,Point Loma WTP,Southern California,2021-01-03,10.141,0.000264,0.846089,pass,PRJNA729801,SAMN19168025,SRR14530865,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530865,55.178769,2.651267,5.197144,0.376158,0.034824,5.992784,0.006023,30.563029
SRR14530864,pl,Point Loma WTP,Southern California,2021-01-04,10.183,0.000374,0.867266,pass,PRJNA729801,SAMN19168026,SRR14530864,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530864,47.287064,5.865195,7.550815,0.496243,0.049995,9.948032,0.004778,28.797877
SRR14530727,sb,South Bay WRP,Southern California,2020-08-13,2.782,0.004283,0.739061,pass,PRJNA729801,SAMN19167986,SRR14530727,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530727,29.585945,2.375117,6.908891,2.168683,0.05299,0.135236,11.989541,46.783598
SRR14530726,sb,South Bay WRP,Southern California,2020-08-27,3.204,0.009602,0.79495,pass,PRJNA729801,SAMN19167987,SRR14530726,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530726,31.80719,4.14448,5.668631,0.738753,0.052185,0.212821,11.624134,45.751806
SRR14530724,sb,South Bay WRP,Southern California,2020-09-10,2.738,0.001619,0.826434,pass,PRJNA729801,SAMN19167988,SRR14530724,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530724,36.095701,3.141566,6.122273,0.587289,0.051243,0.02525,3.458975,50.517703
SRR14530725,sb,South Bay WRP,Southern California,2020-09-24,6.516,0.000135,0.6362,pass,PRJNA729801,SAMN19167989,SRR14530725,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530725,7.227838,7.530151,13.618837,2.799486,0.022159,0.005025,3.88839,64.908116
SRR14530856,sb,South Bay WRP,Southern California,2020-10-08,11.258,0.000382,0.882628,pass,PRJNA729801,SAMN19168033,SRR14530856,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530856,72.617893,0.873383,2.519535,3.120061,0.029851,1.045539,0.360368,19.43337
SRR14530728,sb,South Bay WRP,Southern California,2020-10-22,3.429,0.011619,0.901427,pass,PRJNA729801,SAMN19167985,SRR14530728,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530728,22.453011,6.244643,11.33718,1.019509,0.120763,0.243499,1.038018,57.543378
SRR14530855,sb,South Bay WRP,Southern California,2020-11-05,11.389,0.011868,0.865,pass,PRJNA729801,SAMN19168034,SRR14530855,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530855,68.274234,0.837647,1.989399,2.076561,0.032786,1.633458,1.502262,23.653652
SRR14530896,sj,San Jose Creek WRP,Southern California,2020-09-02,3.042,0.001513,0.803522,pass,PRJNA729801,SAMN19167997,SRR14530896,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530896,19.396049,6.329382,2.231245,3.779388,0.046392,0.028403,25.726377,42.462764
SRR14530895,sj,San Jose Creek WRP,Southern California,2020-09-09,3.184,0.001316,0.771227,pass,PRJNA729801,SAMN19167998,SRR14530895,NCBI STAT 2.1.0,https://www.ncbi.nlm.nih.gov/sra/SRR14530895,17.68526,7.803733,2.533527,3.579786,0.097106,0.051182,13.771562,54.477843
